object_id,y,x,green_id,red_id,status,area,green_peak,red_peak
1,14.01846646641493,809.391378154709,1,0,live_only,110,174.20664173350144,0.0
2,34.54844500963804,420.0411966545838,2,6,double_positive,54,22.252889988627636,30.382958641439494
3,48.01480888330043,1007.7040971303065,3,0,live_only,53,16.25612271998523,0.0
4,47.548486144670285,36.462325907627296,4,8,double_positive,32,24.936613668247126,11.102227647197694
5,53.18754722049584,174.5725071508448,5,0,live_only,69,14.759701647854616,0.0
6,62.19130166988063,761.2505882422878,6,12,double_positive,67,113.35226098001732,9.285407034669522
7,69.77835586488196,142.73418539157646,7,0,live_only,99,21.849582328278448,0.0
8,72.59199414363489,647.3386798855589,8,0,live_only,117,44.723424865074364,0.0
9,75.52673079235606,8.816284133085924,9,0,live_only,34,13.612311880113088,0.0
10,76.21355124714644,170.0995533328767,10,0,live_only,98,89.70846904565501,0.0
11,75.85541283131691,277.30362245941825,11,0,live_only,121,193.02572465235852,0.0
12,76.26238724791429,361.06123256801607,12,15,double_positive,43,22.278970503651564,41.03337882999066
13,80.70405730635058,372.8876105062778,13,16,double_positive,59,13.875183550134256,25.26957242060116
14,82.94447735660151,744.2221700578777,14,0,live_only,107,119.70253527482414,0.0
15,82.44565203159945,333.4363660578497,15,17,double_positive,41,22.89711235929518,26.861693630166826
16,92.03051435341453,71.60611588693125,16,0,live_only,86,123.40343943449281,0.0
17,105.6051428811128,460.8930577057891,17,0,live_only,100,89.38856519145082,0.0
18,108.9118849820911,555.5415769879824,18,0,live_only,88,20.060609503244777,0.0
19,110.96135399213635,745.6111002519731,19,0,live_only,63,33.80210630935784,0.0
20,114.36930079867659,786.3524424809791,20,0,live_only,83,94.26175026790287,0.0
21,115.3421549742278,994.9507274397631,21,29,double_positive,35,15.343479799613995,16.76541677139852
22,120.31472656851527,677.15570762069,22,0,live_only,109,49.47772086045892,0.0
23,123.52681912017641,829.6908071595637,23,0,live_only,46,14.486422017333545,0.0
24,134.4706764502564,739.1954001579377,24,0,live_only,99,188.47052458750449,0.0
25,135.85920836334245,493.06424121461913,25,0,live_only,85,58.36966163402878,0.0
26,133.7803239126049,839.079117546999,26,33,double_positive,40,19.666858187371414,26.679721301461434
27,139.10827068869554,924.5946972090446,27,34,double_positive,55,44.287817518460486,38.60007047361174
28,143.4559615121836,209.16835671384086,28,0,live_only,59,10.146963995682864,0.0
29,145.75289219135237,408.64326062183613,29,0,live_only,98,173.83936746966356,0.0
30,146.58674078227745,337.3246760255331,30,38,double_positive,32,16.658981610014663,15.17579507215248
31,157.4008138171377,155.68708373673664,31,0,live_only,96,220.6936806781521,0.0
32,163.39942478182434,16.361780247944214,32,0,live_only,107,203.66283860525058,0.0
33,165.72100943744985,198.90232706572272,33,0,live_only,124,42.58615762056688,0.0
34,165.20758091626882,497.1597805602631,34,0,live_only,78,170.15216425351696,0.0
35,171.4361160040717,125.07702378886593,35,0,live_only,98,64.97573942182274,0.0
36,179.54020164815304,39.037147272814934,36,0,live_only,94,23.26029354159907,0.0
37,176.58537115819234,149.18614344704775,37,43,double_positive,34,35.93844612050941,50.01023657062962
38,180.80101034777715,179.39562654393868,38,0,live_only,54,11.399048766690203,0.0
39,179.3536932269845,197.80926972959324,39,0,live_only,21,12.247604722485034,0.0
40,184.48600546406703,579.6329322061306,40,44,double_positive,37,40.11652725912688,83.34666668772022
41,189.5286359924859,78.2407466290677,41,0,live_only,127,126.23995522614128,0.0
42,197.5929505352506,452.8712833747518,42,47,double_positive,36,15.127478036507505,19.823938508120882
43,202.5812230585146,698.2121286316411,43,0,live_only,93,76.81181885222031,0.0
44,204.4005802105962,131.21021111988938,44,48,double_positive,81,135.18250522367197,6.031920361814623
45,206.45807513048652,82.62440448391524,45,0,live_only,70,164.49987086276673,0.0
46,208.07083053794855,720.1214537506991,46,52,double_positive,97,229.25640269559108,9.886227937861694
47,208.80104617964247,345.15216834906033,47,0,live_only,34,11.802946066584116,0.0
48,212.17319991410596,39.787961251387834,48,53,double_positive,46,28.263628689549694,41.98428820940347
49,220.39089886655714,776.8272816765718,49,0,live_only,219,103.97113171550517,0.0
50,215.15419019568225,937.1140779879518,50,54,double_positive,43,23.27960349944565,40.84392051085473
51,220.84226104832413,548.8778998271998,51,0,live_only,124,177.8802425069471,0.0
52,223.45998346550354,514.1912837435476,52,0,live_only,65,17.005682371165342,0.0
53,224.1664576652263,741.5994174728069,53,55,double_positive,41,16.784045872471246,42.12077428733088
54,228.75377914871095,156.72452938832356,54,0,live_only,87,180.74307377586177,0.0
55,228.49130078810205,498.0647335795379,55,0,live_only,80,200.17666341809976,0.0
56,247.82665802469174,114.4975997030223,56,0,live_only,96,178.49819352900016,0.0
57,249.89442772379823,39.832453800195566,57,0,live_only,99,203.7472559869069,0.0
58,258.0095516544809,63.56924755506117,58,0,live_only,83,75.26819931253013,0.0
59,257.5428752670739,125.82375163614394,59,61,double_positive,75,141.03777919773668,10.801931459415359
60,263.0851071189062,677.5132970113101,60,62,double_positive,48,21.015196104472974,8.227327034614003
61,265.40291754727764,1014.7496967921786,61,63,double_positive,32,12.703180482685333,13.96311408575542
62,271.253146660672,137.88231118625822,62,0,live_only,109,190.3450465035248,0.0
63,278.1453870180646,532.03255095311,63,65,double_positive,111,106.68820657514274,7.299306096020409
64,273.43560601609676,522.625854301674,64,0,live_only,84,43.65895252005338,0.0
65,274.3857855773275,236.75673469873792,65,0,live_only,79,22.791749292823752,0.0
66,274.1063781064979,968.6553804853897,66,64,double_positive,31,25.87044051158269,19.65981541174699
67,278.07996687895496,804.9680736371255,67,0,live_only,102,102.17996566998471,0.0
68,283.5909301477572,200.29661979656976,68,0,live_only,109,17.92248711008157,0.0
69,289.3391054920535,14.30468003789497,69,70,double_positive,40,14.44777947763166,29.308613324453464
70,301.2593505608311,59.87159982616656,70,0,live_only,99,230.86898747309937,0.0
71,292.18626384144534,56.369380494848755,71,0,live_only,64,150.87518450722015,0.0
72,294.62336565131875,190.43609636144612,72,0,live_only,91,55.873195282078186,0.0
73,297.95296891111633,150.6342308937758,73,0,live_only,99,226.49853380323788,0.0
