sample,total,live_only,dead_only,double_positive,viability_percent,ebfp_all_count,ebfp_all_percent,ebfp_live_count,ebfp_live_percent,double_positive_percent,ebfp_dead_count,ebfp_dead_percent,detected_objects_per_mm2,viability_excluding_double_percent,green_any_percent
S5,438,190,155,93,43.37899543378995,170,38.81278538812785,148,77.89473684210526,21.232876712328768,22,8.870967741935484,80.86871980938851,55.072463768115945,64.61187214611873
S6,526,199,234,93,37.832699619771866,201,38.21292775665399,170,85.42713567839196,17.680608365019012,31,9.480122324159021,97.1163164834209,45.95842956120092,55.51330798479088
S7,333,120,137,76,36.03603603603604,115,34.53453453453454,94,78.33333333333333,22.822822822822822,21,9.859154929577464,61.48238286878167,46.69260700389105,58.85885885885886
