channel,id,y,x,area,peak_contrast,mean_raw,max_raw,parent_count
dead,1,173.59781344903115,91.52924814992262,24,17.84578889348173,9.75,37.0,1
dead,2,186.69172269127858,149.510578884242,22,6.44730424462182,5.090909090909091,13.0,1
dead,3,196.88628243336993,106.89170597563813,34,45.3761605568434,15.735294117647058,104.0,1
dead,4,196.47378695758445,692.5541583886946,20,4.454259524986782,4.1,10.0,1
dead,5,201.98840577156645,84.34788694795304,34,44.72578824193577,15.911764705882353,92.0,1
dead,6,209.16300510531912,58.7270959148499,30,29.789107113023274,12.466666666666667,61.0,1
dead,7,213.82268813697658,635.9551232392329,25,4.181588067413585,4.32,17.0,1
dead,8,223.09721966061556,675.2623423083783,15,6.129335758526514,5.266666666666667,20.0,1
dead,9,228.42195319221153,705.4294981544253,28,10.313308460469875,5.571428571428571,27.0,1
dead,10,236.58429691906116,252.12613013524867,17,5.177456866337497,5.176470588235294,16.0,1
dead,11,251.77744403843042,326.2670888730363,32,14.614607582484965,7.59375,30.0,1
dead,12,256.2686117495567,511.07929731176876,13,4.861378029824112,4.923076923076923,16.0,1
dead,13,258.96102607232405,291.0601074782799,34,45.29739888973967,16.647058823529413,83.0,1
dead,14,277.03990254751216,473.6343313677227,31,11.907012699216386,6.483870967741935,30.0,1
dead,15,277.9048641413268,660.3463156950005,27,18.49133924007992,8.851851851851851,43.0,1
dead,16,286.53763465756253,671.8712285482508,24,8.312921249705623,6.333333333333333,23.0,1
dead,17,311.7074257405106,146.13315801730093,20,10.976092758924857,7.75,30.0,1
dead,18,315.1134813149628,31.28096294998922,16,8.170679663597078,6.125,16.0,1
dead,19,315.79518010405405,136.23785222358836,35,44.877079145673896,17.2,91.0,1
dead,20,320.50815157956106,105.76598454770911,35,53.64455634838535,20.485714285714284,95.0,1
dead,21,320.51605848065753,307.5236307511692,33,15.757828160950291,8.878787878787879,27.0,1
dead,22,321.5300998598728,643.5466992161279,16,8.23936955939298,7.0,24.0,1
dead,23,327.69036296899634,659.6092441174252,36,41.652670909590896,16.583333333333332,92.0,1
dead,24,330.5321324610347,471.60148227025536,16,4.573787481022361,4.4375,10.0,1
dead,25,339.00325815511917,754.1309789489989,19,6.2631204308557376,5.2105263157894735,17.0,1
dead,26,343.60323023389185,897.6763161243219,19,6.2581237879005185,5.105263157894737,13.0,1
dead,27,346.24206608688695,335.8743016413156,36,28.06107597958318,11.333333333333334,53.0,1
dead,28,349.0763910399313,802.7219136522039,37,39.32776558933557,14.972972972972974,77.0,1
dead,29,352.68309208458163,436.79399539214444,46,6.514019119959017,4.891304347826087,17.0,1
dead,30,355.3726323422121,637.8583430539425,26,19.554533316392163,10.038461538461538,37.0,1
dead,31,359.16427638274615,286.947526403891,36,7.0824631631913695,4.888888888888889,17.0,1
dead,32,360.8906350896854,622.7621096789508,34,7.091254607828575,5.147058823529412,16.0,1
dead,33,383.7878981054764,777.8220718267228,33,42.228568444110984,15.181818181818182,107.0,1
dead,34,388.46329298301697,867.7043766550973,16,4.627781073066485,4.4375,17.0,1
dead,35,392.40063808661625,660.2887714269033,35,43.15616880895511,16.685714285714287,97.0,1
dead,36,397.0522574419497,72.91226691744606,24,7.249204925437095,5.75,16.0,1
dead,37,398.5246148434017,124.74337620511702,32,35.21077158928383,14.78125,71.0,1
dead,38,398.7844723701473,345.28963984949104,35,32.749468186038975,12.714285714285714,64.0,1
dead,39,406.64495324433835,306.22658131668163,22,4.240544615658309,4.409090909090909,10.0,1
dead,40,410.4715042420804,60.90761046660373,36,37.741912674820206,14.444444444444445,84.0,1
dead,41,411.0205881449282,728.472163288939,35,9.573847178647178,6.428571428571429,20.0,1
dead,42,411.3411743441117,523.2802819949362,34,9.365011700709516,6.0,20.0,1
dead,43,417.00831082674506,668.7752914388242,25,6.108767664089409,5.6,13.0,1
dead,44,418.19630945297985,900.0992190228025,35,21.62177548513489,9.657142857142857,43.0,1
dead,45,417.90734404580905,546.1131601480196,22,18.84893384698576,8.409090909090908,60.0,1
dead,46,419.365982848938,999.8273203449089,15,4.077686930450058,3.8666666666666667,14.0,1
dead,47,425.29569058437863,849.8121792624652,40,26.703238196209302,11.575,50.0,1
dead,48,435.65728028821485,569.9872334168213,24,7.060980203931376,5.833333333333333,10.0,1
dead,49,436.29688047508097,785.3651201123444,35,19.314556047800714,8.314285714285715,54.0,1
dead,50,440.7433797290398,142.3875006501264,38,59.46598223727608,20.13157894736842,138.0,1
dead,51,441.81404368992446,334.8440781091335,27,10.196301415251758,7.074074074074074,27.0,1
dead,52,443.82815238928,639.4131341409828,40,56.162079378770116,20.825,124.0,1
dead,53,453.3513700199516,464.9261756921057,26,6.555778465080156,5.769230769230769,13.0,1
dead,54,455.66462684780345,70.07936008231992,39,30.30536113828514,12.461538461538462,60.0,1
dead,55,457.3860253621834,441.43502915574845,34,11.405735208070126,7.117647058823529,27.0,1
dead,56,462.17530075401595,479.347298677802,34,20.869342360911038,10.441176470588236,46.0,1
dead,57,474.207135142712,377.23552607311797,51,17.801741850543145,7.862745098039215,40.0,1
dead,58,474.0702865416601,51.65450780075682,25,5.619619849916598,4.88,13.0,1
dead,59,474.83769989812373,745.1731998783465,12,4.060086033313836,4.25,13.0,1
dead,60,480.2988197619363,252.14243444348304,35,48.0069162590387,16.857142857142858,100.0,1
dead,61,482.7697506590209,853.8000380200574,24,12.58018062929041,7.791666666666667,30.0,1
dead,62,485.9337684600892,564.1759092273982,21,6.511385757469183,5.0476190476190474,13.0,1
dead,63,490.12798530841303,173.8539941267453,33,54.59293594035474,20.151515151515152,125.0,1
dead,64,493.2240839580566,703.3427056691446,26,4.190489578494983,4.038461538461538,13.0,1
dead,65,510.91438482986956,468.7490636844746,24,7.2188846650789875,4.708333333333333,19.0,1
dead,66,510.8423672563105,910.9062916591586,31,13.473404347347088,7.290322580645161,26.0,1
dead,67,516.9240613692599,246.1987531280419,42,37.84658248321627,14.523809523809524,63.0,1
dead,68,517.7746033267562,487.66697648092634,34,30.454055123856595,12.470588235294118,67.0,1
dead,69,522.8375848494586,376.7399074842299,40,59.30601341182061,21.425,104.0,1
dead,70,521.1685725372035,965.5048947433437,24,16.549840889087065,8.375,37.0,1
dead,71,528.3993428875473,12.42689880413469,24,12.666248836143506,7.958333333333333,27.0,1
dead,72,528.2056037143375,192.89528582106365,22,13.752157679744803,9.454545454545455,36.0,1
dead,73,529.525773668148,652.5090443299214,42,30.090328950308912,11.833333333333334,60.0,1
dead,74,534.9118999233543,198.58427393665193,27,10.389246094779512,7.888888888888889,23.0,1
dead,75,539.1148862094111,55.08001998746497,46,56.675982908460675,19.652173913043477,93.0,1
dead,76,541.4744543239065,181.9587062905605,35,84.95601614508846,27.257142857142856,206.0,1
dead,77,541.2803570544027,203.7241460758238,12,6.185725006977674,7.25,13.0,1
dead,78,542.8001334698926,833.5281869820586,30,17.611647373775686,8.966666666666667,40.0,1
dead,79,547.3242993580429,876.5774004849509,30,18.098252930048186,9.5,36.0,1
dead,80,558.6845487572324,788.1768007707842,22,8.017564332174002,5.681818181818182,20.0,1
dead,81,558.4680183988644,130.4602667090459,33,19.842036938080376,9.181818181818182,37.0,1
dead,82,561.4674656192145,751.9018114731898,32,25.792825949601806,11.28125,57.0,1
dead,83,578.4907393100426,545.3461156682844,26,9.630209496811178,5.961538461538462,20.0,1
dead,84,577.5764576199988,915.152143953697,24,4.618782488028686,4.375,13.0,1
dead,85,580.6421410747207,697.3471283654984,28,5.569235540181848,4.607142857142857,13.0,1
dead,86,582.387029974406,988.590022804695,13,4.103936655011261,4.384615384615385,10.0,1
dead,87,584.7476091330736,70.65815605266054,21,7.141563696231895,5.857142857142857,17.0,1
dead,88,588.991773721305,885.0116711558677,19,6.555211427399017,5.894736842105263,14.0,1
dead,89,596.0286234119652,715.5849856776533,27,8.21725711424041,5.62962962962963,17.0,1
