channel,id,y,x,area,peak_contrast,mean_raw,max_raw,parent_count
live,1,88.11595567570438,448.4074593550221,129,33.97547956454528,25.2015503875969,96.0,1
live,2,144.55423667764657,561.5964748125155,132,56.901730574637064,28.575757575757574,129.0,1
live,3,145.68620291233955,834.8412391946771,78,19.148168206720992,16.115384615384617,61.0,2
live,4,141.94720773976834,829.4706080193419,49,15.148453619594392,15.63265306122449,58.0,2
live,5,160.27076869357086,185.04836615470614,142,62.019518595825794,36.140845070422536,149.0,1
live,6,162.64769618319048,434.7156001437922,120,25.398648899421598,20.1,75.0,1
live,7,170.50812732950004,96.01046179133895,101,235.6734699224442,122.74257425742574,255.0,1
live,8,187.74634514082626,149.41878366615364,43,27.331640829640442,19.209302325581394,89.0,1
live,9,209.60829591523174,58.80674395720263,24,20.21254702517656,18.958333333333332,79.0,1
live,10,259.1033371090866,291.03985085319465,28,23.70929768257566,19.5,54.0,1
live,11,266.57103309339215,203.10088096228043,20,15.79083709249202,16.75,50.0,1
live,12,277.60191253160184,660.0302460167328,24,18.546431780416484,17.708333333333332,60.0,1
live,13,277.3237739437088,474.2432198873528,20,16.122345916026052,18.2,66.0,1
live,14,294.0032721861099,197.19824862306893,22,18.84519269893972,17.636363636363637,87.0,1
live,15,308.6105624074249,592.6769388742563,20,10.216801249174052,14.2,42.0,1
live,16,316.1120310973905,136.78449282310234,37,41.62843102323469,25.89189189189189,109.0,1
live,17,319.70247706104317,105.53920513346961,31,21.043841592864123,19.193548387096776,70.0,1
live,18,327.71638124151525,658.848706859177,36,32.7587712718599,22.055555555555557,107.0,1
live,19,350.28836204924704,337.41274799393364,122,60.26327485654459,37.549180327868854,123.0,1
live,20,350.2001449304103,449.08862819683867,85,55.15486840998051,33.78823529411765,111.0,1
live,21,353.0460428485894,483.17866113549576,168,221.20066217370277,128.17857142857142,255.0,1
live,22,349.5780587454838,802.7383975596586,28,19.774385144309633,18.285714285714285,67.0,1
live,23,352.8500386001342,436.5001579864728,59,43.233212250283884,27.305084745762713,90.0,1
live,24,367.6891616992036,869.6456012396643,88,29.404667559952777,18.693181818181817,86.0,1
live,25,375.236261046557,371.80662487237026,144,148.73265554388203,84.88194444444444,219.0,1
live,26,376.8552382881718,354.2750203413823,150,167.98824473040955,78.94666666666667,248.0,1
live,27,374.21466940194347,285.1175859976613,65,100.59312014420465,59.41538461538462,255.0,1
live,28,376.7468155985061,765.3662479502373,59,17.62997781561052,17.23728813559322,59.0,1
live,29,385.48295642066273,283.25691877566777,84,217.5101647559495,105.05952380952381,255.0,1
live,30,385.7547387778429,461.171543154934,134,179.07130472000077,91.40298507462687,255.0,1
live,31,383.8898431839573,777.8294610072513,27,26.479054187957136,21.74074074074074,83.0,1
live,32,392.7075415722079,660.197823253721,27,33.27543484475231,24.0,126.0,1
live,33,396.1387663844131,890.6120341232497,74,55.8140534568855,28.513513513513512,98.0,1
live,34,398.7557580018252,124.64117662273577,25,27.204646321198194,22.16,79.0,1
